word,count,length,different letters,vowels,consonants
hasn,2,4,4,1,3
tut,2,3,2,1,2
squeezed,1,8,6,4,4
closer,1,6,6,2,4
keeping,2,7,6,3,4
uncomfortably,1,13,12,4,9
bore,1,4,4,2,2
tis,5,3,3,1,2
minding,1,7,5,2,5
morals,1,6,6,2,4
waist,1,5,5,2,3
experiment,2,10,8,4,6
bite,2,4,4,2,2
mustard,3,7,7,2,5
feather,1,7,6,3,4
flock,1,5,5,1,4
mineral,1,7,7,3,4
agree,2,5,4,3,2
attended,1,8,5,3,5
vegetable,1,9,7,4,5
imagine,2,7,6,4,3
cheap,1,5,5,2,3
birthday,1,8,8,2,6
dig,1,3,3,1,2
worried,1,7,6,3,4
died,1,4,3,2,2
favourite,1,9,9,5,4
linked,1,6,6,2,4
hers,4,4,4,1,3
tremble,1,7,6,2,5
thunderstorm,1,12,10,3,9
fair,1,4,4,2,2
warning,1,7,6,2,5
choice,2,6,5,3,3
absence,1,7,6,3,4
shade,1,5,5,2,3
delay,1,5,5,2,3
cost,1,4,4,1,3
whom,1,4,4,1,3
sentenced,1,9,6,3,6
custody,2,7,7,2,5
company,1,7,7,2,5
pardoned,1,8,7,3,5
executions,2,10,9,5,5
gryphon,55,7,7,1,6
sun,2,3,3,1,2
picture,1,7,7,3,4
lazy,1,4,4,1,3
leaving,1,7,7,3,4
rubbed,1,6,5,2,4
watched,2,7,7,2,5
chuckled,1,8,7,2,6
executes,1,8,6,4,4
ledge,1,5,4,2,3
rock,1,4,4,1,3
heart,2,5,5,2,3
pitied,1,6,5,3,3
sorrow,2,6,4,2,4
hollow,1,6,4,2,4
occasional,1,10,7,5,5
exclamation,1,11,10,5,6
heavy,2,5,5,2,3
calmly,1,6,5,1,5
school,6,6,5,2,4
tortoise,3,8,6,4,4
sink,1,4,4,1,3
mayn,1,4,4,1,3
educations,1,10,10,5,5
proud,2,5,5,2,3
extras,1,6,6,2,4
learned,1,7,6,3,4
relief,2,6,5,3,3
ours,1,4,4,2,2
extra,1,5,5,2,3
afford,1,6,5,2,4
regular,2,7,6,3,4
inquired,1,8,7,4,4
reeling,1,7,6,3,4
writhing,1,8,7,2,6
arithmetic,1,10,8,4,6
ambition,1,8,7,4,4
distraction,1,11,9,4,7
uglification,2,12,10,6,6
derision,1,8,7,4,4
lifted,1,6,6,2,4
uglifying,1,9,7,3,6
beautify,1,8,8,4,4
prettier,1,8,5,3,5
uglify,1,6,6,2,4
simpleton,1,9,9,3,6
encouraged,1,10,9,5,5
mystery,2,7,6,1,6
counting,1,8,7,3,5
subjects,1,8,7,2,6
flappers,1,8,7,2,6
ancient,1,7,6,3,4
modern,1,6,6,2,4
seaography,1,10,9,4,6
drawling,3,8,8,2,6
conger,1,6,6,2,4
week,3,4,3,2,2
fainting,1,8,6,3,5
coils,1,5,5,2,3
stiff,1,5,4,1,4
classics,1,8,5,2,6
grief,1,5,5,2,3
hid,1,3,3,1,2
lessen,1,6,4,2,4
eleventh,1,8,6,3,5
holiday,1,7,7,3,4
twelfth,1,7,6,1,6
games,1,5,5,2,3
lobster,7,7,7,2,5
quadrille,4,9,8,4,5
flapper,1,7,6,2,5
sobs,4,4,3,1,3
bone,1,4,4,2,2
punching,1,8,7,2,6
recovered,2,9,6,4,5
cheeks,1,6,5,2,4
introduced,1,10,9,4,6
delightful,2,10,9,3,7
dance,13,5,5,2,3
form,1,4,4,1,3
lines,1,5,5,2,3
seals,1,5,4,2,3
turtles,2,7,6,2,5
salmon,1,6,6,2,4
cleared,1,7,6,3,4
jelly,1,5,4,1,4
advance,3,7,6,3,4
partner,1,7,6,2,5
partners,1,8,7,2,6
lobsters,7,8,7,2,6
retire,1,6,4,3,3
bound,1,5,5,2,3
capering,1,8,8,3,5
yelled,1,6,4,2,4
land,1,4,4,1,3
figure,3,6,6,3,3
dropping,1,8,7,2,6
pretty,1,6,5,1,5
dancing,2,7,6,2,5
treading,2,8,8,3,5
toes,3,4,4,2,2
forepaws,1,8,8,3,5
mark,3,4,4,1,3
whiting,8,7,6,2,5
snail,3,5,5,2,3
porpoise,4,8,6,4,4
shingle,1,7,7,2,5
join,9,4,4,2,2
askance,1,7,6,3,4
thanked,1,7,7,2,5
kindly,2,6,6,1,5
scaly,1,5,5,1,4
england,1,7,6,2,5
france,1,6,6,2,4
beloved,1,7,6,3,4
dinn,2,4,3,1,3
tails,3,5,5,2,3
mouths,4,6,6,2,4
thrown,1,6,6,1,5
shiny,1,5,5,1,4
blacking,1,8,8,2,6
soles,1,5,4,2,3
eels,1,4,3,2,2
shrimp,1,6,6,1,5
thoughts,2,8,6,2,6
obliged,3,7,7,3,4
anywhere,1,8,7,3,5
journey,1,7,7,3,4
purpose,1,7,6,3,4
impatient,1,9,7,4,5
explanations,1,12,10,5,7
gained,1,6,6,3,3
listeners,1,9,7,3,6
part,2,4,4,1,3
sluggard,1,8,7,2,6
baked,1,5,5,2,3
eyelids,1,7,6,3,4
trims,1,5,5,1,4
belt,1,4,4,1,3
buttons,1,7,6,2,5
editions,2,8,7,4,4
follows,3,7,5,2,5
sands,1,5,4,1,4
gay,1,3,3,1,2
lark,1,4,4,1,3
contemptuous,1,12,9,5,7
tones,2,5,5,2,3
shark,1,5,5,1,4
tide,1,4,4,2,2
rises,1,5,4,2,3
sharks,1,6,5,1,5
around,3,6,6,3,3
tremulous,1,9,8,4,5
uncommon,1,8,5,3,5
explained,1,9,8,4,5
persisted,2,9,7,3,6
disobey,1,7,7,3,4
owl,3,3,3,1,2
panther,3,7,7,2,5
sharing,1,7,7,2,5
pie,3,3,3,2,1
crust,1,5,5,1,4
gravy,1,5,5,1,4
meat,1,4,4,2,2
share,1,5,5,2,3
treat,1,5,4,2,3
boon,1,4,3,2,2
permitted,1,9,7,3,6
received,1,8,6,4,4
fork,1,4,4,1,3
banquet,1,7,7,3,4
accounting,1,10,8,4,6
tastes,1,6,4,2,4
rich,1,4,4,1,3
tureen,1,6,5,3,3
dainties,1,8,7,4,4
evening,5,7,5,3,4
beau,4,4,4,3,1
ootiful,4,7,6,4,3
soo,7,3,2,2,1
oop,7,3,2,2,1
cares,2,5,5,2,3
pennyworth,2,10,9,2,8
beauti,1,6,6,4,2
ful,1,3,3,1,2
panted,1,6,6,2,4
faintly,1,7,7,2,5
breeze,1,6,4,3,3
xi,1,2,2,1,1
stole,2,5,5,2,3
tarts,7,5,4,1,4
seated,1,6,5,3,3
throne,1,6,6,2,4
arrived,1,7,6,3,4
standing,1,8,7,2,6
chains,1,6,6,2,4
soldier,1,7,7,3,4
guard,1,5,5,2,3
trumpet,3,7,6,2,5
scroll,2,6,5,1,5
parchment,2,9,9,2,7
court,18,5,5,2,3
refreshments,1,12,8,3,9
pass,1,4,3,1,3
justice,1,7,7,3,4
wig,2,3,3,1,2
wore,1,4,4,2,2
frontispiece,1,12,10,5,7
comfortable,1,11,10,4,7
becoming,1,8,8,3,5
jurors,4,6,5,2,4
rightly,1,7,7,1,6
men,1,3,3,1,2
slates,8,6,5,2,4
indignant,1,9,6,3,6
spectacles,3,10,7,3,7
spell,1,5,4,1,4
neighbour,1,9,9,4,5
muddle,1,6,5,2,4
pencil,2,6,6,2,4
squeaked,1,8,7,4,4
quickly,2,7,7,2,5
juror,1,5,4,2,3
herald,1,6,6,2,4
accusation,1,10,8,5,5
blew,2,4,4,1,3
blasts,2,6,5,1,5
summer,2,6,5,2,4
verdict,4,7,7,2,5
witness,10,7,6,2,5
teacup,3,6,6,3,3
sent,2,4,4,1,3
fourteenth,1,10,8,4,6
fifteenth,1,9,6,3,6
sixteenth,1,9,7,3,6
wrote,3,5,5,2,3
dates,1,5,5,2,3
reduced,1,7,5,3,4
shillings,1,9,6,2,7
pence,1,5,4,2,3
hat,1,3,3,1,2
stolen,1,6,6,2,4
memorandum,1,10,8,4,6
fidgeted,1,8,6,3,5
evidence,7,8,6,4,4
spot,1,4,4,1,3
encourage,1,9,8,5,4
shifting,1,8,7,2,6
remain,1,6,6,3,3
squeeze,1,7,5,4,3
boldly,1,6,5,1,5
reasonable,1,10,8,5,5
pace,1,4,4,2,2
ridiculous,1,10,8,5,5
fashion,2,7,7,3,4
officers,4,8,7,3,5
list,3,4,4,1,3
singers,2,7,6,2,5
thin,1,4,4,1,3
dunce,1,5,5,2,3
twinkled,1,8,8,2,6
deny,2,4,4,1,3
denies,1,6,5,3,3
miserable,2,9,8,4,5
speaker,1,7,6,3,4
suppressed,4,10,6,3,7
canvas,1,6,5,2,4
bag,1,3,3,1,2
tied,1,4,4,2,2
strings,1,7,6,1,6
newspapers,1,10,7,3,7
trials,1,6,6,2,4
attempts,1,8,6,2,6
applause,1,8,6,4,4
understood,1,10,8,4,6
lower,1,5,5,2,3
officer,1,7,6,3,4
examine,2,7,6,4,3
folding,1,7,7,2,5
collar,1,6,5,2,4
shrieked,1,8,7,3,5
behead,1,6,5,3,3
suppress,1,8,5,2,6
undertone,2,9,7,4,5
ache,1,4,4,2,2
fumbled,1,7,7,2,5
xii,1,3,2,2,1
flurry,1,6,5,1,5
tipped,1,6,5,2,4
skirt,1,5,5,1,4
upsetting,1,9,8,3,6
jurymen,4,7,7,2,5
sprawling,1,9,9,2,7
reminding,1,9,7,3,6
globe,1,5,5,2,3
goldfish,2,8,8,2,6
accidentally,1,12,9,4,8
dismay,1,6,6,2,4
accident,2,8,7,3,5
vague,1,5,5,3,2
die,1,3,3,2,1
cannot,1,6,5,2,4
emphasis,1,8,7,3,5
haste,1,5,5,2,3
downwards,1,9,7,2,7
unable,1,6,6,3,3
signifies,1,9,6,4,5
shock,1,5,5,1,4
pencils,1,7,7,2,5
diligently,1,10,8,3,7
overcome,1,8,6,4,4
gazing,1,6,5,2,4
unimportant,5,11,9,4,7
respectful,1,10,9,3,7
note,2,4,4,2,2
cackled,1,7,6,2,5
forty,1,5,5,1,4
persons,1,7,6,2,5
mile,2,4,4,2,2
invented,1,8,6,3,5
oldest,1,6,6,2,4
prisoner,2,8,7,3,5
directed,2,8,6,3,5
verses,4,6,4,2,4
handwriting,1,11,9,3,8
queerest,1,8,6,4,4
imitated,1,8,6,4,4
prove,1,5,5,2,3
signed,2,6,6,2,4
sign,1,4,4,1,3
mischief,1,8,7,3,5
honest,1,6,6,2,4
clapping,1,8,7,2,6
proves,2,6,6,2,4
guilt,1,5,5,2,3
character,1,9,6,3,6
push,1,4,4,1,3
returned,2,8,6,3,5
involved,1,8,7,3,5
affair,1,6,4,3,3
trusts,1,6,4,1,5
fit,3,3,3,1,2
obstacle,1,8,8,3,5
ourselves,1,9,7,4,5
secret,1,6,5,2,4
sixpence,1,8,7,3,5
atom,2,4,4,2,2
attempted,1,9,6,3,6
saves,1,5,4,2,3
spreading,1,9,9,3,6
cardboard,1,9,6,3,6
clearer,1,7,5,3,4
fits,1,4,4,1,3
furiously,1,9,8,4,5
inkstand,1,8,7,2,6
ink,1,3,3,1,2
trickling,1,9,8,2,7
pun,1,3,3,1,2
twentieth,1,9,6,3,6
purple,1,6,5,2,4
flying,1,6,6,1,5
brushing,1,8,8,2,6
fluttered,1,9,7,3,6
kissed,1,6,5,2,4
wonderful,2,9,9,3,6
setting,1,7,6,2,5
dreaming,1,8,8,3,5
dreamed,1,7,5,3,4
clasped,1,7,7,2,5
toss,1,4,3,1,3
listened,1,8,7,3,5
rustled,1,7,7,2,5
splashed,1,8,7,2,6
neighbouring,1,12,9,5,7
rattle,1,6,5,2,4
teacups,2,7,7,3,4
shared,1,6,6,2,4
meal,1,4,4,2,2
crashed,1,7,7,2,5
choking,1,7,7,2,5
believed,1,8,6,4,4
reality,1,7,7,3,4
rustling,1,8,8,2,6
rippling,1,8,6,2,6
reeds,1,5,4,2,3
tinkling,1,8,6,2,6
sheep,1,5,4,2,3
bells,1,5,4,1,4
cries,1,5,5,2,3
shepherd,1,8,6,2,6
noises,1,6,5,3,3
clamour,1,7,7,3,4
farm,1,4,4,1,3
yard,1,4,4,1,3
lowing,1,6,6,2,4
cattle,1,6,5,2,4
lastly,1,6,5,1,5
pictured,1,8,8,3,5
riper,1,5,4,2,3
years,1,5,5,2,3
loving,1,6,6,2,4
childhood,1,9,6,3,6
gather,1,6,6,2,4
sorrows,1,7,4,2,5
joys,1,4,4,1,3
remembering,1,11,7,4,7
happy,1,5,4,1,4
